#TYPE System.Management.Automation.PSCustomObject
"ScheduleName","Reboot","OS","DayofWeek","TagName","TagValue","StartTime","DaysofWeekOccurrence"
"1st Monday UTC0 - Windows Update","IfRequired","Windows","Monday","UpdateWindow","MON1UTC0","00:00","First"
"1st Monday UTC0 - Linux Update","IfRequired","Linux","Monday","UpdateWindow","MON1UTC0","00:00","First"
"2nd Monday UTC0 - Windows Update","IfRequired","Windows","Monday","UpdateWindow","MON2UTC0","00:00","Second"
"2nd Monday UTC0 - Linux Update","IfRequired","Linux","Monday","UpdateWindow","MON2UTC0","00:00","Second"
"3rd Monday UTC0 - Windows Update","IfRequired","Windows","Monday","UpdateWindow","MON3UTC0","00:00","Third"
"3rd Monday UTC0 - Linux Update","IfRequired","Linux","Monday","UpdateWindow","MON3UTC0","00:00","Third"
"1st Monday UTC8 - Windows Update","IfRequired","Windows","Monday","UpdateWindow","MON1UTC8","08:00","First"
"1st Monday UTC8 - Linux Update","IfRequired","Linux","Monday","UpdateWindow","MON1UTC8","08:00","First"
"2nd Monday UTC8 - Windows Update","IfRequired","Windows","Monday","UpdateWindow","MON2UTC8","08:00","Second"
"2nd Monday UTC8 - Linux Update","IfRequired","Linux","Monday","UpdateWindow","MON2UTC8","08:00","Second"
"3rd Monday UTC8 - Windows Update","IfRequired","Windows","Monday","UpdateWindow","MON3UTC8","08:00","Third"
"3rd Monday UTC8 - Linux Update","IfRequired","Linux","Monday","UpdateWindow","MON3UTC8","08:00","Third"
"1st Monday UTC16 - Windows Update","IfRequired","Windows","Monday","UpdateWindow","MON1UTC16","16:00","First"
"1st Monday UTC16 - Linux Update","IfRequired","Linux","Monday","UpdateWindow","MON1UTC16","16:00","First"
"2nd Monday UTC16 - Windows Update","IfRequired","Windows","Monday","UpdateWindow","MON2UTC16","16:00","Second"
"2nd Monday UTC16 - Linux Update","IfRequired","Linux","Monday","UpdateWindow","MON2UTC16","16:00","Second"
"3rd Monday UTC16 - Windows Update","IfRequired","Windows","Monday","UpdateWindow","MON3UTC16","16:00","Third"
"3rd Monday UTC16 - Linux Update","IfRequired","Linux","Monday","UpdateWindow","MON3UTC16","16:00","Third"
"1st Tuesday UTC0 - Windows Update","IfRequired","Windows","Tuesday","UpdateWindow","TUE1UTC0","00:00","First"
"1st Tuesday UTC0 - Linux Update","IfRequired","Linux","Tuesday","UpdateWindow","TUE1UTC0","00:00","First"
"2nd Tuesday UTC0 - Windows Update","IfRequired","Windows","Tuesday","UpdateWindow","TUE2UTC0","00:00","Second"
